Autoroute entrée	Péage entrée	Classe 1	Classe 5
DORMANS	VOIE SACREE	10.9	6.7
VOIE SACREE	DORMANS	10.9	6.7
DORMANS	VERDUN	13.0	7.6
VERDUN	DORMANS	13.0	7.6
DORMANS	FRESNES EN WOEVRE	13.0	7.6
FRESNES EN WOEVRE	DORMANS	13.0	7.6
DORMANS	JARNY	14.7	8.6
JARNY	DORMANS	14.7	8.6
DORMANS	CLERMONT EN ARGONNE	9.7	5.9
CLERMONT EN ARGONNE	DORMANS	9.7	5.9
REIMS NORD (ORMES)	MONTREUIL AUX LIONS	9.0	5.6
MONTREUIL AUX LIONS	REIMS NORD (ORMES)	9.0	5.6
REIMS NORD (ORMES)	MONTREUIL (REIMS)	6.5	4.1
MONTREUIL (REIMS)	REIMS NORD (ORMES)	6.5	4.1
REIMS NORD (ORMES)	CHATEAU-THIERRY	4.4	2.8
CHATEAU-THIERRY	REIMS NORD (ORMES)	4.4	2.8
REIMS NORD (ORMES)	DORMANS	2.1	1.4
DORMANS	REIMS NORD (ORMES)	2.1	1.4
REIMS NORD (ORMES)	REIMS OUEST (THILLOIS)	0.0	0.0
REIMS OUEST (THILLOIS)	REIMS NORD (ORMES)	0.0	0.0
REIMS NORD (ORMES)	REIMS SUD	0.4	0.3
REIMS SUD	REIMS NORD (ORMES)	0.4	0.3
REIMS NORD (ORMES)	CHARMONT-S/BARBUISE	11.2	6.2
CHARMONT-S/BARBUISE	REIMS NORD (ORMES)	11.2	6.2
REIMS NORD (ORMES)	VALLEE DE L'AUBE	8.6	5.2
VALLEE DE L'AUBE	REIMS NORD (ORMES)	8.6	5.2
REIMS NORD (ORMES)	SOMMESOUS	6.6	4.1
SOMMESOUS	REIMS NORD (ORMES)	6.6	4.1
REIMS NORD (ORMES)	MONT CHOISY	4.9	2.9
MONT CHOISY	REIMS NORD (ORMES)	4.9	2.9
REIMS NORD (ORMES)	ST GIBRIEN	4.5	2.6
ST GIBRIEN	REIMS NORD (ORMES)	4.5	2.6
REIMS NORD (ORMES)	CHALONS / LA VEUVE (REIMS)	3.7	2.2
CHALONS / LA VEUVE (REIMS)	REIMS NORD (ORMES)	3.7	2.2
REIMS NORD (ORMES)	CHALONS / LA VEUVE (METZ)	4.2	2.5
CHALONS / LA VEUVE (METZ)	REIMS NORD (ORMES)	4.2	2.5
REIMS NORD (ORMES)	ST ETIENNE AU TEMPLE	4.2	2.5
ST ETIENNE AU TEMPLE	REIMS NORD (ORMES)	4.2	2.5
REIMS NORD (ORMES)	ST MENEHOULD	6.3	4.2
ST MENEHOULD	REIMS NORD (ORMES)	6.3	4.2
REIMS NORD (ORMES)	VOIE SACREE	9.4	5.6
VOIE SACREE	REIMS NORD (ORMES)	9.4	5.6
REIMS NORD (ORMES)	VERDUN	11.6	6.6
VERDUN	REIMS NORD (ORMES)	11.6	6.6
REIMS NORD (ORMES)	FRESNES EN WOEVRE	11.6	6.6
FRESNES EN WOEVRE	REIMS NORD (ORMES)	11.6	6.6
REIMS NORD (ORMES)	JARNY	13.0	7.9
JARNY	REIMS NORD (ORMES)	13.0	7.9
REIMS NORD (ORMES)	METZ BEAUMONT	16.1	10.1
METZ BEAUMONT	REIMS NORD (ORMES)	16.1	10.1
REIMS NORD (ORMES)	CLERMONT EN ARGONNE	8.0	4.8
CLERMONT EN ARGONNE	REIMS NORD (ORMES)	8.0	4.8
REIMS NORD (ORMES)	VATRY	5.7	3.8
